year,average elevation
1847,4199.8
1848,4200.4
1849,4200.5
1850,4200.549999999999
1851,4201.3
1852,4202.4
1853,4204.0
1854,4203.666666666667
1855,4203.85
1856,4203.700000000001
1857,4203.0
1858,4202.1
1859,4201.05
1860,4200.5
1861,4200.25
1862,4202.35
1863,4202.4
1864,4204.0
1865,4205.1
1866,4206.65
1867,4208.05
1868,4209.65
1869,4210.450000000001
1870,4209.95
1871,4209.95
1872,4211.0
1873,4211.05
1874,4210.5
1875,4209.18
1876,4209.8099999999995
1877,4209.833333333333
1878,4208.814285714286
1879,4206.725
1880,4205.758333333333
1881,4205.591666666666
1882,4205.275000000001
1883,4204.411111111111
1884,4204.858333333334
1885,4206.458333333333
1886,4207.044444444445
1887,4206.572727272727
1888,4205.258333333333
1889,4203.627272727273
1890,4203.14
1891,4202.87
1892,4202.225
1893,4202.14
1894,4202.1
1895,4201.45
1896,4201.075
1897,4201.283333333334
1898,4200.983333333334
1899,4200.525
1900,4200.266666666666
1901,4199.2
1902,4197.25
1903,4196.925
1904,4197.325
1905,4196.825
1906,4197.150000000001
1907,4199.366666666666
1908,4200.416666666667
1909,4201.766666666666
1910,4202.908333333334
1911,4202.416666666667
1912,4202.141666666666
1913,4202.291666666667
1914,4202.75
1915,4202.425
1916,4201.983333333334
1917,4202.483333333334
1918,4202.783333333334
1919,4201.816666666667
1920,4201.266666666666
1921,4202.241666666667
1922,4203.333333333333
1923,4204.108333333334
1924,4204.091666666666
1925,4203.733333333334
1926,4203.416666666667
1927,4202.666666666667
1928,4201.758333333333
1929,4201.129166666667
1930,4200.529166666666
1931,4199.420833333334
1932,4198.516666666667
1933,4197.858333333334
1934,4196.179166666667
1935,4195.075
1936,4194.883333333333
1937,4195.474999999999
1938,4195.6125
1939,4195.545833333334
1940,4194.733333333333
1941,4194.795833333334
1942,4195.479166666667
1943,4195.425
1944,4195.55
1945,4195.620833333333
1946,4196.233333333334
1947,4196.679166666667
1948,4196.945833333333
1949,4197.283333333334
1950,4197.970833333334
1951,4198.933333333333
1952,4199.870833333333
1953,4199.791666666667
1954,4198.445833333333
1955,4197.304166666667
1956,4196.962500000001
1957,4196.554166666667
1958,4196.358333333334
1959,4195.349999999999
1960,4194.13
1961,4192.777083333333
1962,4192.735416666666
1963,4192.114583333333
1964,4192.764583333334
1965,4193.814583333334
1966,4194.464583333333
1967,4194.122916666666
1968,4194.80625
1969,4195.983333333334
1970,4195.79125
1971,4197.139583333334
1972,4198.608333333334
1973,4199.572916666667
1974,4200.122916666666
1975,4200.454166666666
1976,4201.118750000001
1977,4199.8875
1978,4199.220833333334
1979,4198.7
1980,4199.233333333334
1981,4199.306250000001
1982,4199.989583333333
1983,4203.786538461538
1984,4207.75
1985,4208.880769230769
1986,4210.42
1987,4210.34
1988,4207.82
1989,4204.011818181818
1990,4202.894794520548
1991,4201.397260273972
1992,4200.042896174863
1993,4199.947945205479
1994,4198.994794520549
1995,4199.018082191781
1996,4199.307103825136
1997,4200.369315068493
1998,4202.08904109589
1999,4203.026301369863
2000,4202.187158469946
2001,4200.340630136987
2002,4198.55802739726
2003,4196.6066027397255
2004,4195.166229508197
2005,4195.96797260274
2006,4196.92501369863
2007,4196.355424657534
2008,4195.084945355192
2009,4194.977835616438
2010,4194.688575342466
2011,4197.0110410958905
2012,4197.467103825136
2013,4195.629863013698
2014,4194.246465753425
2015,4193.424630136987
2016,4193.16286885246
2017,4193.988767123287
2018,4193.534794520548
2019,4193.681095890412
2020,4193.559836065573
2021,4191.6613698630135
2022,4190.04794520548
2023,4192.102465753424
2024,4193.308791208791
